rank,title,duration,genres,directors,cast,synopsis,rating
1,Forrest Gump,2h 20min,"Comédie,
Drame,
Romance","De
Robert Zemeckis","Avec
Tom Hanks,

Gary Sinise,
Robin Wright","Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.",2.6
2,La Liste de Schindler,3h 15min,"Historique,
Guerre","De
Steven Spielberg","Avec
Liam Neeson,
Ben Kingsley,
Ralph Fiennes","Evocation des années de guerre d'Oskar Schindler, industriel autrichien rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique.",4.2
3,La Ligne verte,3h 09min,"Policier,

Fantastique","De
Frank Darabont","Avec
Tom Hanks,
Michael Clarke Duncan,
David Morse","Paul Edgecomb, Gardien-chef du pénitencier de Cold Mountain en 1935, était chargé de veiller au bon déroulement des exécutions capitales. Parmi les prisonniers se trouvait un colosse du nom de John Coffey...",2.8
4,12 hommes en colère,1h 35min,Drame,"De
Sidney Lumet","Avec
Henry Fonda,
Martin Balsam,
John Fiedler","Lors d'un procès, un juré émet l'hypothèse que l'homme qu'il doit juger n'est peut-être pas coupable. Il va tenter de convaincre les onze autres jurés.",5.0
5,Le Parrain,2h 55min,"Policier,
Drame","De
Francis Ford Coppola","Avec
Marlon Brando,
Al Pacino,
James Caan","En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone marie sa fille à un bookmaker. Sollozzo, ""parrain"" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue...",4.6
6,Les Evadés,2h 22min,Drame,"De
Frank Darabont","Avec
Tim Robbins,
Morgan Freeman,
Bob Gunton","Condamné à perpétuité pour le meurtre de sa femme et de son amant, un banquier s'accroche à l'espoir et se lie d'amitié avec un autre détenu pour survivre en prison.",3.2
7,Le Seigneur des anneaux : le retour du roi,3h 21min,"Aventure,
Fantastique","De
Peter Jackson","Avec
Sean Astin,
Elijah Wood,
Viggo Mortensen","Tandis que les ténèbres se répandent sur la Terre du Milieu, Aragorn se révèle être l'héritier caché des rois antiques. Quant à Frodon, toujours tenté par l'Anneau, il voyage à travers les contrées ennemies, se reposant sur Sam et Gollum...",3.8
8,Le Roi Lion,1h 29min,"Aventure,
Animation,
Famille","De
Roger Allers,
Rob Minkoff","Avec
Emmanuel Curtil,
Matthew Broderick,
Dimitri Rougeul","Le long combat de Simba le lionceau pour accéder à son rang de roi des animaux, après que le fourbe Scar, son oncle, a tué son père et pris sa place.",3.4
9,Vol au-dessus d'un nid de coucou,2h 09min,Drame,"De
Milos Forman","Avec
Jack Nicholson,
Louise Fletcher,
William Redfield",Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.,5.0
10,"The Dark Knight, Le Chevalier Noir",2h 32min,"Action,
Thriller","De
Christopher Nolan","Avec
Christian Bale,

Heath Ledger,
Aaron Eckhart",Batman entreprend de démanteler les dernières organisations criminelles de Gotham. Mais il se heurte bientôt à un nouveau génie du crime qui répand la terreur et le chaos dans la ville : le Joker...,4.0
11,Il était une fois dans l'Ouest,2h 55min,Western,"De
Sergio Leone","Avec
Henry Fonda,
Charles Bronson,
Frank Wolff",Un mystérieux desperado pourchasse sans relâche un dangereux criminel.,4.0
12,Pulp Fiction,2h 29min,"Policier,
Thriller","De
Quentin Tarantino","Avec
John Travolta,

Samuel L. Jackson,
Uma Thurman",L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.,4.4
13,"Le Bon, la brute et le truand",3h 00min,Western,"De
Sergio Leone","Avec
Clint Eastwood,
Eli Wallach,
Lee Van Cleef","Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...",4.1
14,Il était une fois en Amérique,3h 49min,"Policier,
Drame","De
Sergio Leone","Avec
Robert De Niro,
James Woods,
Elizabeth McGovern","Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.",4.9
15,Django Unchained,2h 44min,Western,"De
Quentin Tarantino","Avec
Jamie Foxx,
Christoph Waltz,

Leonardo DiCaprio",Le parcours d'un chasseur de prime allemand et d'un homme noir pour retrouver la femme de ce dernier retenue en esclavage par le propriétaire d'une plantation...,4.6
16,Le Seigneur des anneaux : la communauté de l'anneau,2h 58min,"Aventure,
Fantastique","De
Peter Jackson","Avec
Elijah Wood,
Sean Astin,
Ian McKellen","Frodon le Hobbit hérite de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu. Commence alors un vaste périple visant à la destruction de l'objet.",3.7
17,Gladiator,2h 35min,"Action,
Aventure","De
Ridley Scott","Avec
Russell Crowe,
Joaquin Phoenix,
Connie Nielsen","Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du ...",4.3
18,Interstellar,2h 49min,"Drame,
Science Fiction","De
Christopher Nolan","Avec
Matthew McConaughey,

Anne Hathaway,
Michael Caine",Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.,3.8
19,Le Seigneur des anneaux : les deux tours,2h 59min,"Aventure,
Fantastique","De
Peter Jackson","Avec
Elijah Wood,
Sean Astin,
Viggo Mortensen","Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...",4.0
20,Gran Torino,1h 56min,"Drame,
Thriller","De
Clint Eastwood","Avec
Clint Eastwood,
Bee Vang,
Ahney Her","Walt Kowalski est un ancien de la guerre de Corée, un homme inflexible, amer et pétri de préjugés surannés. Hormis sa chienne Daisy, il ne fait confiance qu'à son M-1, toujours propre, toujours prêt à l'usage...",4.7
21,Star Wars : Episode V - L'Empire contre-attaque,2h 04min,"Aventure,
Science Fiction","De
Irvin Kershner","Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher","Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...",5.0
22,Seven,2h 10min,"Policier,
Drame,
Thriller","De
David Fincher","Avec
Brad Pitt,
Morgan Freeman,
Gwyneth Paltrow",John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.,3.6
23,Le Dictateur,2h 05min,Comédie,"De
Charles Chaplin","Avec
Charles Chaplin,
Jack Oakie,
Paulette Goddard","Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...",5.0
24,Parasite,2h 12min,Thriller,"De
Bong Joon Ho","Avec
Song Kang-Ho,
Woo-sik Choi,
Park So-Dam","Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable...",4.8
25,Your Name,1h 50min,"Animation,
Fantastique","De
Makoto Shinkai","Avec
Yoann Borg,
Ryûnosuke Kamiki,

Alice Orsat","Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis.",4.0
26,Les Affranchis,2h 25min,"Drame,
Thriller","De
Martin Scorsese","Avec
Ray Liotta,
Robert De Niro,
Joe Pesci","Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero...",5.0
27,Fight Club,2h 19min,"Drame,
Thriller","De
David Fincher","Avec
Brad Pitt,
Edward Norton,
Helena Bonham Carter","Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.",2.7
28,Coco,1h 45min,"Animation,
Famille,
Fantastique","De
Lee Unkrich,
Adrian Molina","Avec
Andrea Santamaria,
Anthony Gonzalez (VIII),
Benjamin Bratt","Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz.",4.1
29,"Le Parrain, 2e partie",3h 20min,"Policier,
Drame","De
Francis Ford Coppola","Avec
Kathleen Beller,
Ignazio Pappalardo,
Roman Coppola","Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd le soutien de son lieutenant Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable...",4.7
30,Inception,2h 28min,"Science Fiction,
Thriller","De
Christopher Nolan","Avec
Leonardo DiCaprio,
Marion Cotillard,
Elliot Page","Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...",4.1
31,Green Book : Sur les routes du sud,2h 10min,"Biopic,
Drame","De
Peter Farrelly","Avec
Viggo Mortensen,
Mahershala Ali,
Linda Cardellini","En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.",4.0
32,Retour vers le futur,1h 56min,"Aventure,
Comédie,
Science Fiction","De
Robert Zemeckis","Avec
Michael J. Fox,
Christopher Lloyd,
Lea Thompson","Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.",3.6
33,La Vie est belle,1h 57min,Comédie dramatique,"De
Roberto Benigni","Avec
Roberto Benigni,
Horst Buchholz,
Marisa Paredes","En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...",3.7
34,Usual Suspects,1h 46min,"Policier,
Thriller","De
Bryan Singer","Avec
Chazz Palminteri,
Kevin Spacey,
Gabriel Byrne","Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…",4.6
35,Les Temps modernes,1h 27min,"Comédie dramatique,
Romance","De
Charles Chaplin","Avec
Charles Chaplin,
Paulette Goddard,
Henry Bergman","Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…",4.6
36,Le Kid,0h 52min,Comédie,"De
Charles Chaplin","Avec
Charles Chaplin,
Jackie Coogan,
Edna Purviance","Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...",4.0
37,Le Tombeau des lucioles,1h 30min,"Animation,
Drame,
Guerre","De
Isao Takahata","Avec
J. Robert Spencer,
Ayano Shiraishi,
Veronica Taylor","Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...",4.0
38,Whiplash,1h 47min,"Drame,
Musical","De
Damien Chazelle","Avec
Miles Teller,
J.K. Simmons,
Paul Reiser","Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...",4.1
39,American History X,1h 59min,Drame,"De
Tony Kaye","Avec
Edward Norton,
Edward Furlong,
Elliott Gould","Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...",2.8
40,Psychose,1h 49min,"Epouvante-horreur,
Thriller","De
Alfred Hitchcock","Avec
Anthony Perkins,
Janet Leigh,
John Gavin",Une jeune femme en fuite trouve refuge dans un motel isolé...,4.5
41,Le Silence des agneaux,1h 58min,"Drame,
Thriller","De
Jonathan Demme","Avec
Anthony Hopkins,
Jodie Foster,
Scott Glenn","Clarice Starling, jeune stagiaire du FBI, est désignée pour enquêter sur une série de meurtres épouvantables commis dans le Middle West par un tueur de femmes psychopathe connu sous le nom de Buffalo Bill.",4.8
42,Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),2h 01min,"Aventure,
Science Fiction","De
George Lucas","Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher","Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.",4.8
43,Joker,2h 02min,Drame,"De
Todd Phillips","Avec
Joaquin Phoenix,
Robert De Niro,
Zazie Beetz","Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.",4.1
44,Lion,1h 58min,"Biopic,
Drame","De
Garth Davis","Avec
Dev Patel,
Rooney Mara,
Nicole Kidman","Une incroyable histoire vraie :  à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta.",3.1
45,Star Wars : Episode VI - Le Retour du Jedi,2h 13min,"Aventure,
Science Fiction","De
Richard Marquand","Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher","L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier...",3.0
46,L'Intendant Sansho,2h 04min,Drame,"De
Kenji Mizoguchi","Avec
Kinuyo Tanaka,
Yoshiaki Hanayagi,
Kyôko Kagawa","XIe siècle. Un gouverneur de province est exilé pour avoir pris le parti des paysans contre l’avis d’un chef militaire. Contraints de reprendre la route de son village natal, sa femme Nakagimi et ses enfants Anju et Zushio sont kidnappés par des bandits de grand chemin...",5.0
47,Million Dollar Baby,2h 12min,Drame,"De
Clint Eastwood","Avec
Clint Eastwood,
Morgan Freeman,
Hilary Swank","Replié sur lui-même, l'entraîneur Frankie Dunn vit dans un désert affectif, en évitant toute relation qui pourrait accroître sa douleur et sa culpabilité. Un jour, une trentenaire pousse la porte de son gymnase à la recherche d'un coach...",4.9
48,Les Lumières de la ville,1h 27min,"Comédie dramatique,
Romance","De
Charles Chaplin","Avec
Charles Chaplin,
Virginia Cherrill,
Harry Myers","Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...",4.5
49,Le Voyage de Chihiro,2h 05min,"Aventure,
Animation,
Fantastique","De
Hayao Miyazaki","Avec
Rumi Hiiragi,
Miyu Irino,
Mari Natsuki","Chihiro, une fillette de 10 ans, est en route vers sa nouvelle demeure en compagnie de ses parents. Au cours du voyage, la famille fait une halte dans un parc à thème qui leur paraît délabré. Lors de la visite, les parents s’arrêtent dans un des bâtiments pour déguster quelques mets très appétissants, apparus comme par enchantement. Hélas cette nourriture les transforme en porcs. Prise de panique, Chihiro s’enfuit et se retrouve seule dans cet univers fantasmagorique ; elle rencontre alors l’énigmatique Haku, son seul allié dans cette terrible épreuve...",4.8
50,Tu ne tueras point,2h 20min,"Biopic,
Drame,
Guerre","De
Mel Gibson","Avec
Andrew Garfield,
Vince Vaughn,
Teresa Palmer","1945, alors que la guerre dans le Pacifique fait rage et que les forces américaines mènent l’une des batailles les plus acharnées du conflit sur l’île d’Okinawa, un soldat s’est distingué. Fidèle à ses convictions et armé de son seul courage, il a sauvé la vie de dizaines de soldats blessés.",3.0
51,"Les Enfants Loups, Ame & Yuki",1h 57min,"Animation,
Fantastique","De
Mamoru Hosoda","Avec
Kumiko Aso,
Megumi Hayashibara,
Takuma Hiraoka","Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...",4.1
52,Voyage au bout de l'enfer,3h 03min,"Drame,
Guerre","De
Michael Cimino","Avec
Robert De Niro,
Christopher Walken,
Meryl Streep","Entre Amérique et Viêtnam, le parcours et le destin tragiques d'une bande d'amis soudés, confrontés aux horreurs et aux injustices de la guerre.",4.7
53,Apocalypse Now Final Cut,3h 02min,"Drame,
Guerre","De
Francis Ford Coppola","Avec
Martin Sheen,
Frederic Forrest,
Robert Duvall","Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives...",4.8
54,Les Sentiers de la gloire,1h 28min,"Drame,
Guerre","De
Stanley Kubrick","Avec
Kirk Douglas,
Ralph Meeker,
Adolphe Menjou","Durant la Première Guerre mondiale, le général français Mireau lance une offensive suicidaire contre une position allemande imprenable. Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons refusent d'avancer...",4.6
55,Indiana Jones et la Dernière Croisade,2h 07min,"Action,
Aventure","De
Steven Spielberg","Avec
Harrison Ford,
Sean Connery,
Denholm Elliott","L'archéologue aventurier Indiana Jones se retrouve aux prises avec un maléfique milliardaire. Aux côtés de la cupide Elsa et de son père, il part à la recherche du Graal.",4.4
56,Princesse Mononoké,2h 15min,"Aventure,
Animation,
Fantastique","De
Hayao Miyazaki","Avec
Gillian Anderson,
Claire Danes,

Pamela Adlon","Japon, XVe siècle. Jadis protégée par des animaux géants, la forêt se dépeuple à cause de l'homme. Blessé par un sanglier rendu fou par les démons, le jeune guerrier Ashitaka quitte les siens et part à la recherche du dieu-cerf qui seul pourra défaire le sortilège qui lui gangrène le bras. Au cours de son voyage, Ashitaka rencontre Lady Eboshi, à la tête d’une communauté de forgerons, qui doit se défendre contre ceux qui lui reprochent de détruire la forêt pour alimenter ses forges. Parmi ses pires ennemis se trouve San, une jeune fille sauvage élevée par des loups, aussi appelée ""Princesse Mononoké"", la princesse des spectres...",4.8
57,Harakiri,2h 13min,Drame,"De
Masaki Kobayashi","Avec
Tatsuya Nakadai,
Shima Iwashita,
Akira Ishihama","Japon, 17ème siècle. Le samouraï Tsugumo vient se présenter à la demeure du clan Lyi. Il veut se faire Hara-kiri. Mais le maître des lieux essaie bien de l'en dissuader. Tsugumo livre alors dans un récit les vraies raisons de son geste...",4.6
58,Le Pianiste,2h 28min,"Drame,
Historique","De
Roman Polanski","Avec
Adrien Brody,
Thomas Kretschmann,
Emilia Fox","Durant la Seconde Guerre mondiale, Wladyslaw Szpilman, un pianiste juif polonais, est interné dans le ghetto de Varsovie dont il partage les souffrances, les humiliations et les luttes héroïques. Un officier allemand l'aide et lui permet de survivre.",4.1
59,Intouchables,1h 52min,Drame,"De
Eric Toledano,
Olivier Nakache","Avec
François Cluzet,
Omar Sy,

Anne Le Ny","La rencontre improbable, touchante et drôle entre un riche aristocrate, tétraplégique depuis un accident de parapente, et un jeune de banlieue engagé par hasard pour être son aide à domicile...",3.7
60,Spider-Man : New Generation,1h 57min,"Action,

Animation,
Famille","De
Bob Persichetti,
Peter Ramsey,
Rodney Rothman","Avec
Stéphane Bak,
Shameik Moore,
Jake Johnson (XVI)","SPIDER-MAN : NEW GENERATION présente Miles Morales, un adolescent vivant à Brooklyn, et révèle les possibilités illimitées du Spider-Verse, un univers où plus d’un peut porter le masque…",4.2
61,Il faut sauver le soldat Ryan,2h 43min,"Drame,
Guerre","De
Steven Spielberg","Avec
Ryan Hurst,
Tom Hanks,
Tom Sizemore","Alors que les forces alliées débarquent à Omaha Beach, Miller doit conduire son escouade derrière les lignes ennemies pour une mission particulièrement dangereuse : trouver et ramener sain et sauf le simple soldat James Ryan, dont les trois frères sont morts au combat en l'espace de trois jours. Pendant que l'escouade progresse en territoire ...",3.0
62,Ip Man,1h 45min,"Biopic,
Arts Martiaux","De
Wilson Yip","Avec
Donnie Yen,
Simon Yam,
Siu-Wong Fan","Film biographique sur la vie de Ip Man, pionnier du Wing Chun et maitre de Bruce Lee.",4.4
63,Les Aventuriers de l'Arche perdue,1h 56min,"Action,
Aventure","De
Steven Spielberg","Avec
Harrison Ford,
Karen Allen,
Paul Freeman","1936. L'aventurier Indiana Jones est mandaté pour mettre la main sur le médaillon de Râ, qui serait le premier pas sur le chemin de l'Arche d'Alliance, celle-là même où Moïse conserva les Dix Commandements. Une pièce dont Hitler cherche aussi à s'emparer.",4.6
64,Matrix,2h 15min,"Action,
Science Fiction","De
Lana Wachowski,
Lilly Wachowski","Avec
Keanu Reeves,
Laurence Fishburne,
 Carrie-Anne Moss","Programmeur anonyme, Thomas Anderson est aussi l'un des pirates les plus recherchés du cyber-space. Il est contacté par un certain Morpheus. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents...",3.4
65,"Alien, le huitième passager",1h 56min,"Epouvante-horreur,
Science Fiction","De
Ridley Scott","Avec
Sigourney Weaver,
Tom Skerritt,
Veronica Cartwright","Le vaisseau Nostromo et son équipage rentrent sur Terre avec une cargaison de minerai. Mais lors d'un arrêt forcé sur une planète déserte, l'officier Kane se fait agresser par une forme de vie inconnue, une arachnide qui étouffe son visage...",4.4
66,Shutter Island,2h 17min,Thriller,"De
Martin Scorsese","Avec
Leonardo DiCaprio,
Mark Ruffalo,
Ben Kingsley","1954. Teddy Daniels et Chuck Aule enquêtent sur la disparition d'une patiente échappée d'un hôpital psychiatrique à sécurité maximale. L'hôpital en question est basé sur Shutter Island, une île située à environ une heure au large de Boston.",3.8
67,Fenêtre sur cour,1h 50min,"Policier,
Thriller","De
Alfred Hitchcock","Avec
James Stewart,
Grace Kelly,
Wendell Corey",Un reporter immobilisé par un plâtre observe de sa fenêtre les allées et venues de ses voisins. Le comportement bizarre d'un représentant de commerce l'intrigue à un point tel qu'il le croit meurtrier de sa femme. Fantasme ou réalité ?,3.9
68,Le Conte de la princesse Kaguya,2h 17min,"Animation,
Drame,
Famille","De
Isao Takahata","Avec
Aki Asakura,
Kengo Kora,
 Takeo Chii","Kaguya, « la princesse lumineuse », est un petit être découvert dans la tige d’un bambou par un vieux paysan. La considérant comme un don du ciel, il l’élève avec sa femme, et très vite l’enfant devient une magnifique jeune fille. De la campagne lointaine jusqu’à la grande capitale, sa fascinante beauté suscitera l’engouement auprès de tous ceux qui la rencontrent et elle sera convoitée par cinq nobles princes qui devront relever d’impossibles défis dans l’espoir d’obtenir sa main. Mais le temps venu, elle devra affronter son destin…",4.5
69,Full Metal Jacket,1h 56min,"Drame,
Guerre","De
Stanley Kubrick","Avec
Matthew Modine,
Arliss Howard,
Vincent D'Onofrio","Pendant la guerre du Viêt Nam, la préparation et l'entrainement d'un groupe de jeunes marines, jusqu'au terrible baptême du feu et la sanglante offensive du Tết à Huế, en 1968.",4.8
70,Toy Story 3,1h 40min,"Aventure,
Animation,

Comédie","De
Lee Unkrich","Avec
Jean-Philippe Puymartin,
Tom Hanks,
Richard Darbois","Woody le cowboy, Buzz l'Eclair et les autres jouets se retrouvent confrontés à ce qui devait bien arriver un jour : le départ d'Andy pour l'université...",4.7
71,Vivre,2h 23min,Drame,"De
Akira Kurosawa","Avec
Takashi Shimura,
Shin'ichi Himori,
Haruo Tanaka","Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.",4.4
72,La Vérité,2h 07min,Drame,"De
Henri-Georges Clouzot","Avec
Brigitte Bardot,
Paul Meurisse,
Charles Vanel","Dominique Marceau, une jeune fille provocante, est accusée du meurtre de son ancien amant Gilbert Tellier. Au cours du procès, l'histoire de sa relation avec la victime est reconstituée.",4.9
73,Elephant Man,2h 05min,"Biopic,
Drame","De
David Lynch","Avec
Anthony Hopkins,

John Hurt,
Anne Bancroft","Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère.",4.8
74,Bohemian Rhapsody,2h 15min,"Biopic,
Drame","De
Bryan Singer","Avec
Rami Malek,
Gwilym Lee,
Lucy Boynton","Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.",3.0
75,Edward aux mains d'argent,1h 45min,"Comédie,
Fantastique,
Romance","De
Tim Burton","Avec
Johnny Depp,
Winona Ryder,
Dianne Wiest","Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...",4.4
76,Mommy,2h 19min,Drame,"De
Xavier Dolan","Avec
Anne Dorval,

Antoine-Olivier Pilon,
Suzanne Clément","Une veuve mono-parentale hérite de la garde de son fils, un adolescent profondément turbulent. Ensemble, ils tentent de joindre les deux bouts, notamment grâce à l’aide inattendue de la mystérieuse voisine d’en face, Kyla.",4.3
77,Le Trou,2h 12min,"Drame,
Thriller","De
Jacques Becker","Avec
Michel Constantin,
Jean Keraudy,
Philippe Leroy","Cinq prisonniers, enfermés à La Santé, vont tenter de s'évader en creusant un tunnel.",4.4
78,Barry Lyndon,3h 07min,"Aventure,
Drame","De
Stanley Kubrick","Avec
Ryan O'Neal,
Marisa Berenson,
Patrick Magee","De l'Irlande à la Prusse, l'histoire d'un jeune intriguant et de son ascension dans la fastueuse société du XVIIIème siècle...",5.0
79,Wall-E,1h 37min,"Aventure,
Animation,
Famille","De
Andrew Stanton","Avec
Ben Burtt,
Elissa Knight,
Jeff Garlin","L'histoire d'un petit robot nommé WALL•E, à la recherche du grand amour sur Terre... et dans l'espace !",4.6
80,Sueurs froides,2h 09min,"Drame,
Thriller","De
Alfred Hitchcock","Avec
James Stewart,
Kim Novak,
Barbara Bel Geddes","Rendu responsable de la mort d'un collègue, Scottie, sujet au vertige, quitte la police. Une ancienne relation le contacte afin qu'il suive son épouse, possédée selon lui par l'esprit de son aïeule. Scottie s'éprend bientôt de la jeune femme.",3.8
